Subcluster,highAnnotation,fineAnnotation,,,,,,
1_1,keratinocytes,supraspinous,,,,,,
1_10,keratinocytes,,,,,,,
1_11,keratinocytes,,,,,,,
1_12,keratinocytes,,,,,,,
1_13,keratinocytes,,,,,,,
1_14,keratinocytes,,,,,,,
1_15,keratinocytes,,,,,,,
1_16,keratinocytes,,,,,,,
1_17,keratinocytes,,,,,,,
1_2,keratinocytes,,,,,,,
1_3,keratinocytes,supraspinous,,,,,,
1_4,keratinocytes,Follicular,,,,,,
1_5,keratinocytes,,,,,,,
1_6,keratinocytes,,,,,,,
1_7,mast cells,,,,,,,
1_8,keratinocytes,proliferating,,,,,,
1_9,keratinocytes,,,,,,,
2_1,keratinocytes,,,,,,,
2_2,keratinocytes,,,,,,,
2_3,keratinocytes,,,,,,,
2_4,keratinocytes,proliferating,,,,,,
2_5,keratinocytes,,,,,,,
2_6,keratinocytes,,,,,,,
2_7,keratinocytes,,,,,,,
2_8,keratinocytes,,,,,,,
3_1,fibroblasts,Inflammatory fibroblasts,,,,,,
3_2,fibroblasts,vascular associated fibroblasts,,,,,,
3_3,fibroblasts,Myofibroblastic,,,,,,
3_4,fibroblasts,keratinocytes,,,,,,
3_5,fibroblasts,,,,,,,
3_6,fibroblasts,,,,,,,
3_7,fibroblasts,,,,,,,
3_8,fibroblasts,,,,,,,
3_9,fibroblasts,,,,,,,
4_1,endothel,venous,,,,,,
4_2,endothel,Arterial,,,,,,
4_3,endothel,lymphatic endothelial cells,,,,,,
4_4,endothel,,,,,,,
4_5,endothel,,,,,,,
4_6,endothel,,,,,,,
4_7,endothel,,,,,,,
5_1,myeloid,DC3,,,,,,
5_2,myeloid,cDC,,,,,,
5_3,myeloid,Mac,,,,,,
5_4,myeloid,DC-mreg DC,,,,,,
5_5,myeloid,LC,,,,,,
5_6,myeloid,pDC,,,,,,
5_7,myeloid,Not Myeloid,,,,,,
6_1,pericytes,,,,,,,
6_2,pericytes,,,,,,,
6_3,pericytes,,,,,,,
6_4,pericytes,,,,,,,
7_1,T cells,,,,,,,
8_1,melanocytes,,,,,,,
8_2,melanocytes,,,,,,,
9_1,epithel,,,,,,,
9_2,epithel,,,,,,,
9_3,epithel,,,,,,,
